author	identity	work_count	record_count	languages	total_holdings	author_id	source	duplicated
Loet Leydesdorff	Leydesdorff, L. A.	64	190	5	1.232	lccn-n80112847	API	TRUE
Loet Leydesdorff	Lydsdorff, Loet	1	2	1	2	np-lydsdorff,%20loet	Web	TRUE
Eugene Garfield*	Garfield, Eugene	147	447	5	3.399	lccn-n79061047	API	TRUE
Eugene Garfield*	Garfield, Eugen	1	1	1	0	np-garfield,%20eugen	Web	TRUE
Mike Thelwall	Thelwall, Mike	49	118	4	1.161	lccn-no2005014137	API	TRUE
Mike Thelwall	Thelwal, Mike	1	1	1	1	np-thelwal,%20mike	Web	TRUE
Derek J. de Solla Price	Price, Derek J. de Solla (Derek John de Solla) 1922-1983	171	474	11	6.749	lccn-n50027474	API	TRUE
Derek J. de Solla Price	Price, Derek J. de Solla	1	1	1	1	nc-price%20derek%20j%20de%20solla	Web	TRUE
Derek J. de Solla Price	Price, Derek de Solla	7	9	1	25	viaf-4673149198372574940006	Web	TRUE
Francis Narin	Narin, Francis 1934-	45	95	1	421	lccn-n82209533	API	TRUE
Francis Narin	Narrin, Francis	1	1	1	1	np-narrin,%20francis	Web	TRUE
Wolfgang Glänzel	Glänzel, Wolfgang	53	113	4	1.111	lccn-n85060118	API	TRUE
Wolfgang Glänzel	Glñzel, Wolfgang	1	1	1	0	np-glnzel,%20wolfgang	Web	TRUE
Ronald Rousseau	Rousseau, R.	26	122	5	1.387	lccn-n82249792	API	FALSE
Chaomei Chen	Chen, Chaomei 1960-	42	243	2	5.879	lccn-n99000889	API	FALSE
Anthony (Ton) F.J. van Raan	Raan, A. F. J. van	32	69	2	407	lccn-n88022035	API	TRUE
Anthony (Ton) F.J. van Raan	Raan, Anthony F.J.	1	1	1	1	viaf-205952365	Web	TRUE
Anthony (Ton) F.J. van Raan	Raan, Anthony F. J. van	5	5	2	30	np-raan,%20anthony%20f%20j%20van	Web	TRUE
Anthony (Ton) F.J. van Raan	Raan, van, A. F. J.	1	1	1	1	np-raan,%20van%20a%20f%20j	Web	TRUE
Ben R Martin	Martin, Ben R.	60	192	1	3.014	lccn-n84159925	API	FALSE
András Schubert	Schubert, András	21	62	4	349	lccn-n85060117	API	FALSE
Peter Ingwersen	Ingwersen, Peter	81	119	5	247	np-ingwersen,%20peter	Web	TRUE
Peter Ingwersen	Ingwersen, Peter	33	152	5	1.629	lccn-n88663916	API	TRUE
Peter Ingwersen	Ingerwesen, Peter	1	1	1	1	np-ingerwesen,%20peter	Web	TRUE
Peter Ingwersen	Ingwersen, Peter, Ed 	1	1	1	1	np-ingwersen,%20peter%20ed	Web	TRUE
Henk F. Moed	Moed, H. F.	48	165	5	2.386	lccn-n90675885	API	TRUE
Henk F. Moed	Moed, H. F.	1	4	2	12	viaf-305585079	Web	TRUE
Blaise Cronin	Cronin, Blaise	142	584	3	6.783	lccn-n82000323	API	TRUE
Blaise Cronin	Cronim, Blaise	1	1	1	1	np-cronim,%20blaise	Web	TRUE
Blaise Cronin	Croinin, Blaise	1	1	1	1	np-croinin,%20blaise	Web	TRUE
Henry Small	Small, Henry	26	47	1	301	np-small,%20henry	API	TRUE
Henry Small	Small, Henry Gilbert 1941-	1	10	1	12	lccn-n85818438	Web	TRUE
Henry Small	Small, Henry G.	3	6	1	32	viaf-131148995933759751375	Web	TRUE
Henry Small	Small, Henry 1941-	6	6	1	17	viaf-297589520	Web	TRUE
Tibor Braun	Braun, Tibor	157	399	6	2.298	lccn-n50045550	API	TRUE
Tibor Braun	Braun, Tibor	7	47	4	347	viaf-230043514	Web	TRUE
Tibor Braun	Braun, Tibor Daniel	3	10	2	61	lccn-n99047705	Web	TRUE
Vasily V. Nalimov	Nalimov, V. V. (Vasiliĭ Vasilʹevich) 1910-1997	80	259	5	2.437	lccn-n80149360	API	TRUE
Vasily V. Nalimov	Nalimov, V. V. (Nalimov,) 1910-	1	1	1	2	np-nalimov,%20v%20v$nalimov$1910	Web	TRUE
Vasily V. Nalimov	Nalimov, V. V. (Vasilliĭ Vasilʹevich) 1910-	1	1	1	1	np-nalimov,%20v%20v$vasillii%20vasilevich$1910	Web	TRUE
Vasily V. Nalimov	Nalimov, Vasilij Vasilievič 1910-1997	1	1	1	1	np-nalimov,%20vasilij%20vasilievic$1910%201997	Web	TRUE
Lutz Bornmann	Bornmann, Lutz	14	28	2	215	lccn-no2009039239	API	FALSE
Belver C. Griffith	Griffith, Belver C.	23	52	2	350	lccn-n79129096	API	TRUE
Belver C. Griffith	Griffith, Belver Callis	1	2	1	3	np-griffith,%20belver%20callis	Web	TRUE
Belver C. Griffith	Griffith, B.C.	1	1	1	1	np-griffith,%20b%20c	Web	TRUE
Howard D. White	White, Howard D.	18	63	1	1.821	lccn-n80027680	API	FALSE
Johan Bollen	Bollen, Johan	7	15	2	124	lccn-n99029048	API	FALSE
Katy Borner	Börner, Katy	46	163	2	5.081	lccn-n2002154393	API	TRUE
Katy Borner	伯爾納 (Borner, Katy)	1	1	1	2	np-bo%20er%20na$borner%20katy	Web	TRUE
Katy Borner	Bèorner, Katy	1	1	1	1	np-beorner,%20katy	Web	TRUE
