author	total_holdings	work_count	record_count	All	Since 2014	User	Bibliometrics	Figure	Status	University	lang
Adrián A. Díaz-Faes	2	2	2	168	158	qbu_JY4AAAAJ	Yes	Researcher	Active	ingenio CSIC-UPV	2
Adèle Paul-Hus	11	5	7	719	717	ZsZex3IAAAAJ	Yes	Professor	Active	Université de Montréal	1
Alan Pritchard	2515	78	199	2893	1596	quOCDDEAAAAJ	Yes	Researcher	Deceased	----	1
Alberto Martín-Martín	39	3	6	1060	1056	YlPd48UAAAAJ	Yes	Professor	Active	University of Granada	2
Alesia Zuccala	12	4	6	1154	716	FubDq0QAAAAJ	Yes	Professor	Active	University of Copenhagen	1
Alvaro Roldán López	1	1	1	39	14	YSF9w9cAAAAJ	Yes	Librarian	Active	Consejería de Sanidad de la Comunidad de Madrid	1
Amit Kumar Bandyopadhyay	14	2	2	196	119	_ZnVaK8AAAAJ	Yes	Professor	Retired	University of Burdwan	1
Andrea Scharnhorst	2234	15	67	2889	1372	QcS8uh89nbUC	Yes	Professor	Active	The DANS KOS Observatory (KOSo)	2
Andrea Twiss-Brooks	190	1	8	92	56	GJB9xKAAAAAJ	Yes	Librarian	Active	University of Chicago	1
Andreas Strotmann	189	3	12	1146	648	dKuMsmEAAAAJ	Yes	Researcher	Active	ScienceXplore	1
András Schubert	349	21	62	13094	4832	DTNpAiwAAAAJ	Yes	Professor	Retired	Hungarian Academy of Sciences,	4
Aneta Drabek	20	18	19	225	160	vG4GfIMAAAAJ	Yes	Librarian	Active	University of Silesia in Katowice	1
Anthony (Ton) F.J. van Raan	439	39	76	14228	5694	G-2AKcgAAAAJ	Yes	Researcher	Retired	University of Leiden	3
Antonio Fernández-Cano	79	41	52	1516	751	VVZZdpsAAAAJ	Yes	Professor	Active	University of Granada	2
Antonio Gutierrez Gracia	1348	47	108	2560	1467	rprEIGcAAAAJ	Yes	Researcher	Retired	ingenio csic-upv	3
Antonio Perianes-Rodríguez	94	18	24	1042	747	uv-uDGsAAAAJ	Yes	Professor	Active	University Carlos III of Madrid	2
Antonio Pulgarin	60	18	32	813	353	6stmDBwAAAAJ	Yes	Professor	Retired	University of Extremadura	3
Anup Kumar Das	572	10	33	653	425	Mc52nH8AAAAJ	Yes	Librarian	Active	Jawaharlal Nehru University	1
Aparna Basu	1357	29	87	933	375	owrNVxoAAAAJ	Yes	Researcher	Emeritus	NISTADS	1
B. Elango	1	1	1	261	252	vhOetx0AAAAJ	Yes	Librarian	Active	IFET College of Engineering	1
B. S.Kademani	2	2	2	2019	609	oMjvoV4AAAAJ	Yes	Librarian	Active	Bhabha Atomic Research Centre	1
Bart Thijs	12	11	12	2719	1544	ZgtVRfAAAAAJ	Yes	Professor	Active	KU Leuven	1
Bart Van Looy	1810	90	175	8215	5131	6WNI9vkAAAAJ	Yes	Professor	Active	KU Leuven	3
Belver C. Griffith	354	25	55	9013	2218	5M5DhdcAAAAJ	Yes	Professor	Deceased	Drexel University	2
Ben R Martin	3014	60	192	15348	6894	jkxeY2sAAAAJ	Yes	Professor	Active	Prof Ben Martin	1
Benjamín Vargas-Quesada	638	8	34	2641	1283	b_A0QD4AAAAJ	Yes	Professor	Active	Universidad de Granada	2
Berenika M. Webster	3	3	3	494	202	MzC7m3kAAAAJ	Yes	Librarian	Active	University of Pittsburgh	1
Bertram C. Brookes	963	47	203	4132	793	Pl5u6egAAAAJ	Yes	Professor	Deceased	University College London	5
Bhaskar Mukherjee	810	12	48	549	401	QQ2-23sAAAAJ	Yes	Professor	Active	Banaras Hindu University	2
Bidyarthi Dutta	35	2	4	121	75	yKjT-_oAAAAJ	Yes	Professor	Active	Vidyasagar University	1
Birger Larsen	716	4	18	1826	991	fIL_MF0AAAAJ	Yes	Professor	Active	Aalborg University Copenhagen	1
Björn Hammarfelt	19	15	18	1006	896	seuD8ukAAAAJ	Yes	Professor	Active	University of Borås	2
Blaise Cronin	6785	144	586	11427	4573	ZM_iVWQAAAAJ	Yes	Professor	Emeritus	Indiana University Bloomington	4
Borja González-Albo Manglano	2	2	2	318	238	_y1hvXYAAAAJ	Yes	Researcher	Active	CSIC	2
Carlos Benito Amat	29	1	2	322	138	T8BjsjMAAAAJ	Yes	Researcher	Active	CSIC and INGENIO	1
Carlos Olmeda-Gomez	219	22	47	663	438	XrdfHXUAAAAJ	Yes	Professor	Active	Universidad Carlos III	2
Carole Probst	17	3	3	218	114	-tErsS0AAAAJ	Yes	Professor	Active	Zurich University of Applied Sciences (ZHAW)	2
Caroline S. Wagner	7157	32	147	5393	3078	OBu0OHEAAAAJ	Yes	Professor	Active	Ohio State University	2
Cassidy R. Sugimoto	2301	11	88	6276	5746	AjKdHVMAAAAJ	Yes	Professor	Active	Indiana University Bloomington	2
