Author	All	Since 2014	LC	User
Loet Leydesdorff	49466	25909	Yes	ych9gNYAAAAJ
Eugene Garfield*	30681	9590	Yes	26U7IAEAAAAJ
Mike Thelwall	29666	18658	Yes	8jCKL1sAAAAJ
Derek J. de Solla Price	21002	5928	Yes	Ev26B2YAAAAJ
Francis Narin	15582	4433	Yes	ZZ56uad45oYC
Wolfgang Glänzel	18776	8701	Yes	eN4qrBgAAAAJ
Ronald Rousseau	14433	6049	Yes	6wAM1TAAAAAJ
Chaomei Chen	16476	7837	Yes	IjN4HSRsdakC
Anthony (Ton) F.J. van Raan	14228	5694	Yes	G-2AKcgAAAAJ
Ben R Martin	15348	6894	Yes	jkxeY2sAAAAJ
András Schubert	13094	4832	Yes	DTNpAiwAAAAJ
Peter Ingwersen	11560	3294	Yes	Qtha5msAAAAJ
Henk F. Moed	13408	5801	Yes	qgrbFW8AAAAJ
Blaise Cronin	11427	4573	Yes	ZM_iVWQAAAAJ
Henry Small	11540	4245	Yes	gUqJmFUAAAAJ
Tibor Braun	9534	2124	Yes	jfM8cPAAAAAJ
Vasily V. Nalimov	12376	3372	Yes	6Ev6TloAAAAJ
Lutz Bornmann	15545	11087	Yes	-XinoL8AAAAJ
Belver C. Griffith	9013	2218	Yes	5M5DhdcAAAAJ
Howard D. White	7980	2584	Yes	6jKyyX0AAAAJ
Johan Bollen	11838	7787	Yes	jDmcdsUAAAAJ
Katy Borner	9983	5210	Yes	YirSp_cAAAAJ
Félix de Moya Anegón	9367	5048	Yes	IvruGDUAAAAJ
Koenraad Debackere	10077	4784	Yes	4HghiOEAAAAJ
Jose Maria López Piñero	7276	1644	Yes	oOenW_8AAAAJ
Michael J. Moravcsik	5565	774	Yes	1SxjllcAAAAJ
Katherine W. McCain	6458	1913	Yes	ilq7xBAAAAAJ
Judit Bar-Ilan	8213	4096	Yes	mkb_14UAAAAJ
HD Daniel	7942	4080	Yes	G1e3DVcAAAAJ
Martin Meyer	7634	3399	Yes	FsCwR9kAAAAJ
Thed van Leeuwen	7448	3684	Yes	DTRyxOUAAAAJ
Ying Ding	9043	4817	Yes	riuIGwIAAAAJ
Diana Hicks	7331	3953	Yes	gtXLO6EAAAAJ
Bart Van Looy	8215	5131	Yes	6WNI9vkAAAAJ
J Sylvan Katz	5745	2524	Yes	nx4kZtIAAAAJ
Kevin W. Boyack	7107	4202	Yes	FUGxcFYAAAAJ
Ian Rowlands	5330	2635	Yes	N6kcUMwAAAAJ
Robert J.W. Tijssen	6536	3259	Yes	GbQBFhAAAAAJ
Mustar Philippe	5645	2637	Yes	weYWb-oAAAAJ
Olle Persson	5322	2405	Yes	uzYG4G4AAAAJ
Bertram C. Brookes	4132	793	Yes	Pl5u6egAAAAJ
John Irvine	3743	663	Yes	F8-v-sAAAAAJ
Ismael Rafols	7068	5019	Yes	puqLKfsAAAAJ
Peter Jacso	4142	1545	Yes	96uEd40AAAAJ
Emilio Delgado López-Cózar	6156	3849	Yes	kyTHOh0AAAAJ
Peter Van den Besselaar	4663	2313	Yes	7Zy6oaEAAAAJ
Vincent Larivière	10555	8894	Yes	UvfK8IUAAAAJ
Caroline S. Wagner	5393	3078	Yes	OBu0OHEAAAAJ
Victor Herrero-Solana	3865	1463	Yes	OKIleUEAAAAJ
