author	lang	count
Adrián A. Díaz-Faes	eng	1
Adrián A. Díaz-Faes	spa	1
Adèle Paul-Hus	eng	7
Alan Pritchard	eng	147
Alberto Martín-Martín	eng	2
Alberto Martín-Martín	spa	4
Alesia Zuccala	eng	6
Alvaro Roldán López	spa	1
Amit Kumar Bandyopadhyay	eng	2
Andrea Scharnhorst	eng	55
Andrea Scharnhorst	ger	12
Andrea Twiss-Brooks	eng	8
Andreas Strotmann	eng	12
András Schubert	eng	32
András Schubert	ger	3
András Schubert	hun	22
András Schubert	spa	1
Aneta Drabek	pol	19
Anthony (Ton) F.J. van Raan	dut	9
Anthony (Ton) F.J. van Raan	eng	54
Anthony (Ton) F.J. van Raan	slv	1
Antonio Fernández-Cano	eng	1
Antonio Fernández-Cano	spa	29
Antonio Gutierrez Gracia	eng	1
Antonio Gutierrez Gracia	fre	1
Antonio Gutierrez Gracia	spa	78
Antonio Perianes-Rodríguez	eng	9
Antonio Perianes-Rodríguez	spa	15
Antonio Pulgarin	eng	3
Antonio Pulgarin	por	1
Antonio Pulgarin	spa	28
Anup Kumar Das	eng	33
Aparna Basu	eng	78
B. Elango	eng	1
B. S.Kademani	eng	2
Bart Thijs	eng	12
Bart Van Looy	dut	11
Bart Van Looy	eng	102
Bart Van Looy	jpn	7
Belver C. Griffith	eng	53
Belver C. Griffith	spa	1
Ben R Martin	eng	144
Benjamín Vargas-Quesada	eng	23
Benjamín Vargas-Quesada	spa	11
Berenika M. Webster	eng	3
Bertram C. Brookes	dut	1
Bertram C. Brookes	eng	158
Bertram C. Brookes	fre	2
Bertram C. Brookes	ger	4
Bertram C. Brookes	por	1
Bhaskar Mukherjee	eng	38
Bhaskar Mukherjee	ger	9
Bidyarthi Dutta	eng	4
Birger Larsen	eng	18
Björn Hammarfelt	eng	17
Björn Hammarfelt	swe	1
Blaise Cronin	eng	270
Blaise Cronin	ger	2
Blaise Cronin	por	1
Blaise Cronin	spa	1
Borja González-Albo Manglano	por	1
Borja González-Albo Manglano	spa	1
Carlos Benito Amat	spa	2
Carlos Olmeda-Gomez	eng	5
Carlos Olmeda-Gomez	spa	42
Carole Probst	eng	1
Carole Probst	ger	2
Caroline S. Wagner	eng	123
Caroline S. Wagner	ger	5
Cassidy R. Sugimoto	eng	81
Cassidy R. Sugimoto	fre	7
Catharina Rehn	swe	2
Chandran Velmurugan	eng	1
Chaomei Chen	chi	6
Chaomei Chen	eng	214
Chaoqun Ni	chi	1
Chaoqun Ni	eng	2
Chris Belter	eng	11
Christian Gumpenberger	eng	1
Christian Gumpenberger	ger	7
Christian Schloegl	eng	7
Christian Schloegl	ger	22
