author	identity	languages	total_holdings	work_count	record_count	author_id
Loet Leydesdorff	Leydesdorff, L. A.	5	1232	64	190	lccn-n80112847
Loet Leydesdorff	Lydsdorff, Loet	1	2	1	2	np-lydsdorff,%20loet
Eugene Garfield*	Garfield, Eugene	5	3399	147	447	lccn-n79061047
Eugene Garfield*	Garfield, Eugen	1	0	1	1	np-garfield,%20eugen
Mike Thelwall	Thelwall, Mike	4	1161	49	118	lccn-no2005014137
Mike Thelwall	Thelwal, Mike	1	1	1	1	np-thelwal,%20mike
Derek J. de Solla Price	Price, Derek J. de Solla (Derek John de Solla) 1922-1983	11	6749	171	474	lccn-n50027474
Derek J. de Solla Price	Price, Derek J. de Solla	1	1	1	1	nc-price%20derek%20j%20de%20solla
Derek J. de Solla Price	Price, Derek de Solla	1	25	7	9	viaf-4673149198372574940006
Francis Narin	Narin, Francis 1934-	1	421	45	95	lccn-n82209533
Francis Narin	Narrin, Francis	1	1	1	1	np-narrin,%20francis
Wolfgang Glänzel	Glänzel, Wolfgang	4	1111	53	113	lccn-n85060118
Wolfgang Glänzel	Glñzel, Wolfgang	1	0	1	1	np-glnzel,%20wolfgang
Ronald Rousseau	Rousseau, R.	5	1387	26	122	lccn-n82249792
Chaomei Chen	Chen, Chaomei 1960-	2	5879	42	243	lccn-n99000889
Anthony (Ton) F.J. van Raan	Raan, A. F. J. van	2	407	32	69	lccn-n88022035
Anthony (Ton) F.J. van Raan	Raan, Anthony F.J.	1	1	1	1	viaf-205952365
Anthony (Ton) F.J. van Raan	Raan, Anthony F. J. van	2	30	5	5	np-raan,%20anthony%20f%20j%20van
Anthony (Ton) F.J. van Raan	Raan, van, A. F. J.	1	1	1	1	np-raan,%20van%20a%20f%20j
Ben R Martin	Martin, Ben R.	1	3014	60	192	lccn-n84159925
András Schubert	Schubert, András	4	349	21	62	lccn-n85060117
Peter Ingwersen	Ingwersen, Peter	5	247	81	119	np-ingwersen,%20peter
Peter Ingwersen	Ingwersen, Peter	5	1629	33	152	lccn-n88663916
Peter Ingwersen	Ingerwesen, Peter	1	1	1	1	np-ingerwesen,%20peter
Peter Ingwersen	Ingwersen, Peter, Ed	1	1	1	1	np-ingwersen,%20peter%20ed
Henk F. Moed	Moed, H. F.	5	2386	48	165	lccn-n90675885
Henk F. Moed	Moed, H. F.	2	12	1	4	viaf-305585079
Blaise Cronin	Cronin, Blaise	3	6783	142	584	lccn-n82000323
Blaise Cronin	Cronim, Blaise	1	1	1	1	np-cronim,%20blaise
Blaise Cronin	Croinin, Blaise	1	1	1	1	np-croinin,%20blaise
Henry Small	Small, Henry	1	301	26	47	np-small,%20henry
Henry Small	Small, Henry Gilbert 1941-	1	12	1	10	lccn-n85818438
Henry Small	Small, Henry G.	1	32	3	6	viaf-131148995933759751375
Henry Small	Small, Henry 1941-	1	17	6	6	viaf-297589520
Tibor Braun	Braun, Tibor	6	2298	157	399	lccn-n50045550
Tibor Braun	Braun, Tibor	4	347	7	47	viaf-230043514
Tibor Braun	Braun, Tibor Daniel	2	61	3	10	lccn-n99047705
Vasily V. Nalimov	Nalimov, V. V. (Vasiliĭ Vasilʹevich) 1910-1997	5	2437	80	259	lccn-n80149360
Vasily V. Nalimov	Nalimov, V. V. (Nalimov,) 1910-	1	2	1	1	np-nalimov,%20v%20v$nalimov$1910
