author	author_id	lang	count
Loet Leydesdorff	lccn-n80112847	eng	120
Loet Leydesdorff	lccn-n80112847	dut	15
Loet Leydesdorff	lccn-n80112847	chi	3
Loet Leydesdorff	lccn-n80112847	ger	1
Loet Leydesdorff	lccn-n80112847	fre	1
Loet Leydesdorff	np-lydsdorff,%20loet	chi	2
Eugene Garfield*	lccn-n79061047	eng	228
Eugene Garfield*	lccn-n79061047	chi	3
Eugene Garfield*	lccn-n79061047	jpn	1
Eugene Garfield*	lccn-n79061047	rus	1
Eugene Garfield*	lccn-n79061047	mul	1
Eugene Garfield*	np-garfield,%20eugen	ger	1
Mike Thelwall	lccn-no2005014137	eng	80
Mike Thelwall	lccn-no2005014137	ger	1
Mike Thelwall	lccn-no2005014137	slv	1
Mike Thelwall	lccn-no2005014137	chi	1
Mike Thelwall	np-thelwal,%20mike	eng	1
Derek J. de Solla Price	lccn-n50027474	eng	241
Derek J. de Solla Price	lccn-n50027474	ger	8
Derek J. de Solla Price	lccn-n50027474	fre	6
Derek J. de Solla Price	lccn-n50027474	spa	6
Derek J. de Solla Price	lccn-n50027474	enm	5
Derek J. de Solla Price	lccn-n50027474	ita	2
Derek J. de Solla Price	lccn-n50027474	gre	2
Derek J. de Solla Price	lccn-n50027474	hun	1
Derek J. de Solla Price	lccn-n50027474	por	1
Derek J. de Solla Price	lccn-n50027474	pol	1
Derek J. de Solla Price	lccn-n50027474	kor	1
Derek J. de Solla Price	nc-price%20derek%20j%20de%20solla	eng	1
Derek J. de Solla Price	viaf-4673149198372574940006	eng	9
Francis Narin	lccn-n82209533	eng	65
Francis Narin	np-narrin,%20francis	eng	1
Wolfgang Glänzel	lccn-n85060118	eng	66
Wolfgang Glänzel	lccn-n85060118	hun	7
Wolfgang Glänzel	lccn-n85060118	ger	3
Wolfgang Glänzel	lccn-n85060118	spa	1
Wolfgang Glänzel	np-glnzel,%20wolfgang	eng	1
Ronald Rousseau	lccn-n82249792	eng	105
Ronald Rousseau	lccn-n82249792	dut	4
Ronald Rousseau	lccn-n82249792	chi	2
Ronald Rousseau	lccn-n82249792	por	2
Ronald Rousseau	lccn-n82249792	fre	1
Chaomei Chen	lccn-n99000889	eng	214
Chaomei Chen	lccn-n99000889	chi	6
Anthony (Ton) F.J. van Raan	lccn-n88022035	eng	48
Anthony (Ton) F.J. van Raan	lccn-n88022035	dut	9
Anthony (Ton) F.J. van Raan	viaf-205952365	eng	1
Anthony (Ton) F.J. van Raan	np-raan,%20anthony%20f%20j%20van	eng	4
Anthony (Ton) F.J. van Raan	np-raan,%20anthony%20f%20j%20van	slv	1
Anthony (Ton) F.J. van Raan	np-raan,%20van%20a%20f%20j	eng	1
Ben R Martin	lccn-n84159925	eng	144
András Schubert	lccn-n85060117	eng	32
András Schubert	lccn-n85060117	hun	22
András Schubert	lccn-n85060117	ger	3
András Schubert	lccn-n85060117	spa	1
Peter Ingwersen	np-ingwersen,%20peter	eng	25
Peter Ingwersen	np-ingwersen,%20peter	ger	15
Peter Ingwersen	np-ingwersen,%20peter	dan	7
Peter Ingwersen	np-ingwersen,%20peter	chi	1
Peter Ingwersen	np-ingwersen,%20peter	mul	1
Peter Ingwersen	lccn-n88663916	eng	107
