author	author_id	title	lang	holdings	editions	type
Loet Leydesdorff	lccn-n80112847	Evolutionary economics and chaos theory : new directions in technology studies	1	332	21	book
Loet Leydesdorff	lccn-n80112847	Universities and the global knowledge economy : a triple helix of university-industry-government relations	1	304	23	book
Loet Leydesdorff	lccn-n80112847	The challenge of scientometrics : the development, measurement, and self-organization of scientific communications	2	123	23	book
Loet Leydesdorff	lccn-n80112847	The knowledge based economy : modeled, measured, simulated	1	101	12	book
Loet Leydesdorff	lccn-n80112847	A sociological theory of communication : the self-organization of the knowledge-based society	1	78	14	book
Loet Leydesdorff	lccn-n80112847	Débordements : mélanges offerts à Michel Callon	1	65	1	file
Loet Leydesdorff	lccn-n80112847	The Social Direction of the Public Sciences : Causes and Consequences of Co-operation between Scientists and Non-scientific Groups	1	44	2	file
Loet Leydesdorff	lccn-n80112847	Werknemers en het technologisch vernieuwingsbeleid	1	25	6	book
Loet Leydesdorff	lccn-n80112847	Philips en de wetenschap : verslag van een onderzoek naar relaties tussen universitaire en industriële research in de vaste stof-fysica door de projektgroep Wetenschap en Samenleving aan de Centrale Interfaculteit van de Universiteit van Amsterdam	1	23	3	book
Loet Leydesdorff	lccn-n80112847	Measuring the knowledge base of regional innovation systems in Germany in terms of a triple helix dynamics	1	18	6	book
Loet Leydesdorff	lccn-n80112847	The European guide to science, technology, and innovation studies	1	17	8	book
Loet Leydesdorff	lccn-n80112847	Technologie en arbeidsorganisatie : de stand van het Nederlandse onderzoek : resultaten van een inventarisatie	1	11	3	book
Loet Leydesdorff	lccn-n80112847	The Social direction of the public sciences : causes and consequences of co-operation between scientists and non-scientific groups	1	9	1	book
Loet Leydesdorff	lccn-n80112847	Triple helix indicators of knowledge-based innovation systems	1	6	4	book
Loet Leydesdorff	lccn-n80112847	Machteloos of mondig : Teksten over natuurwetenschap	1	5	2	book
Loet Leydesdorff	lccn-n80112847	A triple helix of university-industry-government relations : the future location of research? : book of abstracts	1	5	4	book
Loet Leydesdorff	lccn-n80112847	Proceedings of the Erasmus Workshop on Quantitative Approaches to Science & Technology Studies Amsterdam, 21 - 24 May 1996	2	5	4	book
Loet Leydesdorff	lccn-n80112847	The triple helix : university-industry-government innovation in action	1	4	1	book
Loet Leydesdorff	lccn-n80112847	Wetenschap als produktiefaktor in de verschillende economische theorieën : [syllabus	1	4	1	book
Loet Leydesdorff	lccn-n80112847	Da xue yu quan qiu zhi shi jing ji	1	3	2	book
Loet Leydesdorff	np-lydsdorff,%20loet	Ke xue ji liang xue de tiao zhan	1	2	2	book
Eugene Garfield*	lccn-n79061047	Citation indexing - its theory and application in science, technology, and humanities	2	688	31	book
Eugene Garfield*	lccn-n79061047	Transliterated dictionary of the Russian language : an abridged dictionary consisting of Russian-to-English and English-to-Russian sections	3	669	13	book
Eugene Garfield*	lccn-n79061047	Essays of an information scientist	1	449	3	book
Eugene Garfield*	lccn-n79061047	The web of knowledge : a festschrift in honor of Eugene Garfield	1	280	9	book
Eugene Garfield*	lccn-n79061047	Essays of an information scientist	2	133	31	book
Eugene Garfield*	lccn-n79061047	An algorithm for translating chemical names to molecular formulas	1	113	9	book
Eugene Garfield*	lccn-n79061047	SSCI journal citation reports	1	80	2	serial
Eugene Garfield*	lccn-n79061047	The use of citation data in writing the history of science	1	69	8	book
Eugene Garfield*	lccn-n79061047	Essays of an information scientist	1	61	21	book
Eugene Garfield*	lccn-n79061047	Essays of an information scientist	1	53	5	serial
Eugene Garfield*	lccn-n79061047	Essays of an information scientist	1	52	16	book
Eugene Garfield*	lccn-n79061047	Essays of an information scientist	1	49	19	book
Eugene Garfield*	lccn-n79061047	Genetics citation index; experimental citation indexes to genetics with special emphasis on human genetics	1	49	2	book
Eugene Garfield*	lccn-n79061047	Essays of an information scientist	1	41	20	book
Eugene Garfield*	lccn-n79061047	Essays of an information scientist	1	39	20	book
Eugene Garfield*	lccn-n79061047	Contents in advance	1	35	2	serial
Eugene Garfield*	lccn-n79061047	Ghostwriting and other essays	1	29	3	book
Eugene Garfield*	lccn-n79061047	The awards of science and other essays	1	28	2	book
Eugene Garfield*	lccn-n79061047	Towards scientography	1	26	2	book
Eugene Garfield*	lccn-n79061047	Peer review, refereeing, fraud, and other essays	1	24	4	book
Eugene Garfield*	np-garfield,%20eugen	HistCiteTM : a software tool for informetric analysis of citation linkage	1	0	1	art
Mike Thelwall	lccn-no2005014137	Introduction to webometrics : quantitative web research for the social sciences	1	331	19	file
Mike Thelwall	lccn-no2005014137	Link analysis : an information science approach	1	249	20	book
Mike Thelwall	lccn-no2005014137	Big Data and Innovation in Tourism, Travel, and Hospitality : Managerial Approaches, Techniques, and Applications	2	170	8	file
Mike Thelwall	lccn-no2005014137	Web indicators for research evaluation : a practical guide	2	131	14	file
Mike Thelwall	lccn-no2005014137	What is web link mining?	1	107	6	visu
Mike Thelwall	lccn-no2005014137	Yelverton Marriage Case : Thelwall V. Yelverton, Comprising an Authentic and Unabridged Acount of the Most Extraordinary Trial of Modern Times, with All Its Revelation, Incidents, and Details Specially Reported	1	48	1	file
